15;20;2
34;29;3
67;28;3
72;28;3
116;25;3
143;6;3
37;7;4
125;23;4
12;11;5
69;27;6
103;29;6
129;21;7
30;22;8
89;20;9
121;14;9
112;30;10
68;21;11
114;20;11
21;10;12
50;23;13
78;17;13
82;23;13
147;6;13
4;26;15
144;21;15
13;27;17
109;10;17
141;22;17
122;9;18
27;7;20
31;19;22
36;29;22
86;9;22
111;13;22
60;26;25
92;29;25
11;9;26
66;21;26
87;14;26
90;11;26
97;24;26
71;16;27
140;18;27
29;30;29
9;21;31
23;10;32
3;17;34
33;26;34
40;27;34
83;9;34
146;8;34
70;6;35
102;15;35
63;23;37
75;16;38
39;29;39
55;30;39
124;26;39
148;15;39
65;7;41
7;27;42
100;24;42
120;30;42
51;15;43
106;29;43
119;21;43
137;9;43
135;30;45
138;20;45
35;18;46
49;10;46
25;23;47
150;24;47
54;19;48
56;20;48
8;11;51
127;14;52
48;8;53
18;27;54
64;20;54
98;28;54
113;5;54
85;8;56
130;6;56
42;25;58
45;11;58
95;9;58
110;7;58
61;19;59
104;16;59
5;8;60
88;16;60
101;15;60
79;20;61
96;24;61
128;16;61
28;5;62
32;9;62
43;16;62
44;26;62
136;21;63
17;19;64
81;11;64
139;17;65
19;28;66
77;8;66
91;23;68
126;15;68
133;22;70
134;25;70
1;18;71
16;21;71
20;13;71
22;15;71
41;15;72
73;12;76
131;13;78
142;7;78
14;17;80
115;12;80
24;25;81
47;13;82
76;5;82
93;16;82
58;30;83
2;21;84
80;18;84
53;16;85
117;26;85
62;21;86
57;29;87
94;17;87
107;17;87
145;29;88
99;9;89
59;12;91
38;12;92
84;8;92
105;27;93
118;18;93
74;15;94
123;19;94
10;28;96
46;7;97
6;17;99
26;11;99
52;29;99
108;12;99
132;5;99
149;11;99
